DonorId,LastDonationDate,Recency,Frequency,Monetary,RecencyScore,FrequencyScore,MonetaryScore,RFM_Score,RFM_Segment,RFM_Customer_Segment
3,18/02/2015,1657,1,1625,3,1,1,5,Low-Value,At Risk Customers
4,31/12/2010,3167,2,4000,1,1,1,3,Low-Value,Lost
7,08/05/2017,847,4,22350,4,1,1,6,Mid-Value,Potential Loyalists
8,18/05/2017,837,2,6300,4,1,1,6,Mid-Value,Potential Loyalists
9,04/04/2019,151,7,96388.32,5,1,1,7,High-Value,Potential Loyalists
12,28/12/2017,613,3,9500.04,5,1,1,7,High-Value,Potential Loyalists
15,26/03/2019,160,4,20000,5,1,1,7,High-Value,Potential Loyalists
16,24/06/2019,70,8,73000,5,1,1,7,High-Value,Potential Loyalists
18,10/04/2019,145,4,23335,5,1,1,7,High-Value,Potential Loyalists
25,01/12/2016,1005,3,5715,4,1,1,6,Mid-Value,Potential Loyalists
33,20/12/2010,3178,12,28500,1,1,1,3,Low-Value,Lost
35,02/10/2015,1431,2,6000,3,1,1,5,Low-Value,At Risk Customers
37,30/06/2010,3351,1,2500,1,1,1,3,Low-Value,Lost
40,09/07/2017,785,6,39610,4,1,1,6,Mid-Value,Potential Loyalists
41,20/04/2015,1596,1,3980.72,3,1,1,5,Low-Value,At Risk Customers
43,31/12/2010,3167,2,3600,1,1,1,3,Low-Value,Lost
53,01/05/2017,854,6,36500,4,1,1,6,Mid-Value,Potential Loyalists
58,01/11/2012,2496,1,5000,2,1,1,4,Low-Value,Can't Lose
60,01/10/2015,1432,3,7200,3,1,1,5,Low-Value,At Risk Customers
63,06/10/2017,696,6,16000,4,1,1,6,Mid-Value,Potential Loyalists
64,28/02/2018,551,6,21323.06,5,1,1,7,High-Value,Potential Loyalists
66,01/01/2015,1705,5,43750,3,1,1,5,Low-Value,At Risk Customers
67,30/10/2010,3229,1,20000,1,1,1,3,Low-Value,Lost
69,31/12/2011,2802,2,3600,1,1,1,3,Low-Value,Lost
70,24/06/2011,2992,1,4000,1,1,1,3,Low-Value,Lost
71,06/03/2013,2371,6,20250,2,1,1,4,Low-Value,Can't Lose
72,30/11/2017,641,33,113918.32,5,1,1,7,High-Value,Potential Loyalists
76,19/09/2011,2905,1,3000,1,1,1,3,Low-Value,Lost
77,30/09/2011,2894,2,3000,1,1,1,3,Low-Value,Lost
78,31/12/2011,2802,3,6000,1,1,1,3,Low-Value,Lost
79,04/07/2018,425,20,66189,5,1,1,7,High-Value,Potential Loyalists
81,08/05/2015,1578,2,13000,3,1,1,5,Low-Value,At Risk Customers
82,31/12/2011,2802,1,1000,1,1,1,3,Low-Value,Lost
83,11/07/2013,2244,2,4250,2,1,1,4,Low-Value,Can't Lose
85,02/01/2012,2800,1,10000,1,1,1,3,Low-Value,Lost
86,03/02/2012,2768,1,10000,1,1,1,3,Low-Value,Lost
87,10/01/2012,2792,1,2000,1,1,1,3,Low-Value,Lost
88,30/01/2013,2406,1,17408.46,2,1,1,4,Low-Value,Can't Lose
89,07/02/2015,1668,6,13700,3,1,1,5,Low-Value,At Risk Customers
90,22/04/2013,2324,1,15853.97,2,1,1,4,Low-Value,Can't Lose
91,12/12/2014,1725,1,1745,3,1,1,5,Low-Value,At Risk Customers
